year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,total_delay_rate,cancellation_rate,diversion_rate,carrier_delay_rate,weather_delay_rate,nas_delay_rate,security_delay_rate,late_aircraft_delay_rate,avg_delay_minutes,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_security_delay,avg_late_aircraft_delay,carrier_delay_pct,weather_delay_pct,nas_delay_pct,security_delay_pct,late_aircraft_delay_pct
2025,7,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",978.0,234.0,52.94,14.27,67.41,0.0,99.39,48.0,6.0,23417.0,3756.0,2148.0,8302.0,0.0,9211.0,0.2392638036809816,0.049079754601226995,0.006134969325153374,0.05413087934560327,0.014591002044989775,0.06892638036809816,0.0,0.10162576687116565,100.07264957264957,70.94824329429544,150.52557813594956,123.15680166147456,0.0,92.67531944863669,22.622964830562797,6.098029998718004,28.806461262339216,0.0,42.47254390837998
2025,7,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",124.0,16.0,3.44,1.57,7.67,0.0,3.33,10.0,0.0,980.0,140.0,239.0,312.0,0.0,289.0,0.12903225806451613,0.08064516129032258,0.0,0.027741935483870966,0.012661290322580645,0.061854838709677416,0.0,0.02685483870967742,61.25,40.69767441860465,152.22929936305732,40.67796610169491,0.0,86.78678678678679,21.486570893191757,9.806371018113682,47.907557776389766,0.0,20.799500312304815
2025,7,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",963.0,177.0,47.11,12.81,56.72,0.0,60.36,82.0,2.0,17310.0,5138.0,1671.0,3917.0,0.0,6584.0,0.1838006230529595,0.08515057113187954,0.0020768431983385254,0.04892004153686397,0.013302180685358257,0.05889927310488058,0.0,0.0626791277258567,97.79661016949153,109.06389301634472,130.44496487119437,69.05853314527504,0.0,109.07886017229954,26.61581920903955,7.23728813559322,32.045197740113,0.0,34.101694915254235
2025,7,G7,GoJet Airlines LLC d/b/a United Express,IAD,"Washington, DC: Washington Dulles International",425.0,120.0,29.85,2.67,40.58,0.0,46.89,25.0,4.0,14404.0,2641.0,726.0,3671.0,0.0,7366.0,0.2823529411764706,0.058823529411764705,0.009411764705882352,0.07023529411764706,0.006282352941176471,0.09548235294117646,0.0,0.11032941176470588,120.03333333333333,88.47571189279732,271.91011235955057,90.46328240512568,0.0,157.09106419279163,24.87707308942412,2.2251854321193436,33.81948495707975,0.0,39.07825652137679
2025,7,HA,Hawaiian Airlines Network,LAX,"Los Angeles, CA: Los Angeles International",176.0,78.0,50.82,0.0,0.0,0.54,26.64,0.0,0.0,3444.0,2175.0,0.0,0.0,22.0,1247.0,0.4431818181818182,0.0,0.0,0.28875,0.0,0.0,0.0030681818181818184,0.15136363636363637,44.15384615384615,42.79811097992916,0.0,0.0,40.74074074074074,46.809309309309306,65.15384615384615,0.0,0.0,0.6923076923076923,34.15384615384616
2025,7,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",57.0,8.0,3.9,0.21,1.39,0.0,2.5,0.0,1.0,427.0,164.0,14.0,31.0,0.0,218.0,0.14035087719298245,0.0,0.017543859649122806,0.06842105263157895,0.0036842105263157894,0.0243859649122807,0.0,0.043859649122807015,53.375,42.05128205128205,66.66666666666667,22.302158273381295,0.0,87.2,48.75,2.625,17.375,0.0,31.25
2025,7,MQ,Envoy Air,DEN,"Denver, CO: Denver International",14.0,6.0,0.0,0.85,4.15,0.0,1.0,0.0,1.0,594.0,0.0,113.0,405.0,0.0,76.0,0.42857142857142855,0.0,0.07142857142857142,0.0,0.060714285714285714,0.29642857142857143,0.0,0.07142857142857142,99.0,0.0,132.94117647058823,97.59036144578313,0.0,76.0,0.0,14.166666666666666,69.16666666666667,0.0,16.666666666666664
2025,7,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",716.0,213.0,42.32,6.54,113.34,2.29,48.51,9.0,2.0,16136.0,2778.0,1014.0,7607.0,55.0,4682.0,0.29748603351955305,0.012569832402234637,0.002793296089385475,0.059106145251396645,0.009134078212290503,0.15829608938547488,0.003198324022346369,0.06775139664804469,75.75586854460094,65.64272211720227,155.045871559633,67.11664019763543,24.017467248908297,96.51618223046795,19.86854460093897,3.070422535211268,53.211267605633815,1.075117370892019,22.774647887323944
2025,7,NK,Spirit Airlines,LAX,"Los Angeles, CA: Los Angeles International",616.0,87.0,22.63,7.87,38.55,0.31,17.64,5.0,0.0,6258.0,1454.0,415.0,2414.0,11.0,1964.0,0.14123376623376624,0.008116883116883116,0.0,0.036737012987012985,0.012775974025974026,0.06258116883116882,0.0005032467532467532,0.028636363636363637,71.93103448275862,64.25099425541318,52.73189326556544,62.61997405966278,35.483870967741936,111.33786848072562,26.01149425287356,9.045977011494253,44.3103448275862,0.3563218390804598,20.275862068965516
2025,7,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",222.0,57.0,19.17,1.17,11.81,0.0,24.85,20.0,1.0,3916.0,968.0,50.0,700.0,0.0,2198.0,0.25675675675675674,0.09009009009009009,0.0045045045045045045,0.08635135135135136,0.00527027027027027,0.0531981981981982,0.0,0.11193693693693695,68.70175438596492,50.49556598852373,42.73504273504274,59.271803556308214,0.0,88.45070422535211,33.63157894736842,2.052631578947368,20.719298245614034,0.0,43.59649122807017
2025,7,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",143.0,42.0,13.51,6.68,9.17,0.0,12.65,10.0,0.0,3842.0,1062.0,1368.0,622.0,0.0,790.0,0.2937062937062937,0.06993006993006994,0.0,0.09447552447552447,0.046713286713286714,0.06412587412587413,0.0,0.08846153846153847,91.47619047619048,78.60843819393043,204.79041916167665,67.8298800436205,0.0,62.45059288537549,32.15900975958105,15.900975958105212,21.828136158057607,0.0,30.11187812425613
2025,7,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",773.0,181.0,118.96,38.88,23.16,0.0,0.0,3.0,5.0,21508.0,15663.0,3999.0,1846.0,0.0,0.0,0.23415265200517466,0.0038809831824062097,0.00646830530401035,0.15389391979301423,0.050297542043984476,0.029961190168175937,0.0,0.0,118.82872928176796,131.6661062542031,102.85493827160494,79.70639032815198,0.0,0.0,65.72375690607734,21.480662983425418,12.795580110497237,0.0,0.0
2025,7,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",6703.0,1991.0,797.26,176.68,643.38,1.0,372.68,120.0,92.0,191450.0,65085.0,25915.0,60596.0,21.0,39833.0,0.297031180068626,0.017902431746978965,0.013725197672683874,0.11894077278830374,0.02635834700880203,0.09598388781142772,0.0001491869312248247,0.055598985528867675,96.1577096936213,81.6358527958257,146.6776092370387,94.18384158662066,21.0,106.88258022968766,40.04319437468608,8.873932697137116,32.31441486690105,0.0502260170768458,18.718232044198892
